frage,referenztext
"Welche Strafen gelten bei verspäteter Rückgabe geliehener Medien in der Bibliothek?", "Diese beträgt 10 Cent pro Tag und pro überfälligem Buch beginnend mit dem 8. Tag der Überfälligkeit mit 80 Cent pro Buch."
"Gibt es an der FH Technikum Wien ein generelles Rauchverbot?", "In allen Räumlichkeiten der FH Technikum Wien besteht absolutes Rauchverbot."
"Wie hoch ist der Studienbeitrag für Studierende aus Drittstaaten?", "Studierende aus Drittstaaten die nicht unter die Personengruppen gemäß der Personengruppenverordnung des BMBWF2 fallen sowie über eine Aufenthaltsberechtigung gemäß Niederlassungs- und Aufenthaltsgesetz verfügen sind verpflichtet einen Studienbeitrag in der Höhe von € 3.000 je Semester zu entrichten."
"Müssen Incoming-Studierende von Partnerhochschulen den ÖH-Beitrag zahlen?", "Der*die Incoming Student*in zahlt aufgrund des bilateralen Abkommens mit der (Partner-) Hochschule keinen Studienbeitrag an der FH Technikum Wien ist aber zur Zahlung des ÖH Beitrags verpflichtet."
"Unter welchen Umständen ist eine Rückerstattung des Studienbeitrags möglich?", "Studierende die ihr Studium vor dem 15.10. bzw. 15.3. des jeweiligen Jahres unterbrechen (Einlangen des Antrags auf Unterbrechung ist maßgebend) erhalten den Studienbeitrag des laufenden Semesters rückerstattet. Bei Abmeldung vom Studium vor dem 01.09. bzw. 16.02. und bereits eingezahltem Studienbeitrag für das kommende Semester kann der Studienbeitrag fortgemeldeten Studierenden (Studierende ab dem 2. Semester) auf Antrag zurückerstattet werden. Eine Rückerstattung des Studienbeitrags kann von Studierenden unter Angabe ihrer Bankdaten mittels E-Mail an billing@technikum-wien.at angefordert werden."
"Welche Regelungen bestehen für das Mitbringen von Tieren?", "Die Mitnahme von Tieren ist untersagt. Ausgenommen davon sind Blindenführ- und Partnerhunde."
"Welche Strafen gelten bei verspäteter Rückgabe geliehener Medien in der Bibliothek?", "Diese beträgt 10 Cent pro Tag und pro überfälligem Buch beginnend mit dem 8. Tag der Überfälligkeit mit 80 Cent pro Buch."
"In welchem Zeitraum können Studierende Einsicht in ihre Beurteilungsunterlagen verlangen?", "Den Studierenden ist Einsicht in die Beurteilungsunterlagen und in die Prüfungsprotokolle zu gewähren wenn die Studierenden dies binnen sechs Monaten ab Bekanntgabe der Beurteilung verlangen."
"Was passiert bei einer abgebrochenen Prüfung?", "Wird eine Prüfung abgebrochen so ist dies im Prüfungsprotokoll zu vermerken. Wird ein ausreichender Grund für den Abbruch glaubhaft gemacht wird dieser Antritt nicht der Gesamtzahl der Wiederholungen zu gerechnet."
"Wann müssen Prüfungen mindestens stattfinden um die Fortsetzung des Studiums ohne Semesterverlust zu gewährleisten?", "Um die Fortsetzung des Studiums ohne Semesterverlust gewährleisten zu können muss die kommissionelle Prüfung spätestens bis 15. November bzw. 15. Mai des Folgesemesters stattfinden."
"Wie hoch ist der allgemeine Studienbeitrag für ordentliche und außerordentliche Studierende?","Ordentliche und außerordentliche Studierende sind verpflichtet einen Studienbeitrag in der Höhe von derzeit € 36336 netto pro Semester zu entrichten."
"Welche Bedingungen gelten für die Rückerstattung der Anzahlung auf den Studienplatz?","Bei Personen die aufgrund besonderer Umstände keine Einreisebewilligung (z.B. fehlendes Visum…) erhalten und deshalb das Studium nicht antreten können wird die Rückerstattung von bezahlten Beiträgen im Einzelfall durch die Studiengangsleitung entschieden."
" Wie hoch ist die Anzahlung auf den Studienbeitrag für einen definitiven Studienplatz?","Die definitive Studienplatz-Zusage setzt eine Anzahlung auf den Studienbeitrag in der Höhe von € 250 voraus."
"Wer kann bei der Abteilung Equality Management einen Erlass des Studienbeitrags beantragen?","Studierende mit einer Behinderung ab 50 % können einen formlosen Antrag auf Erlass des Studienbeitrags bei der Abteilung 'Equality Management' stellen."
"In welchen Räumen ist das Mitnehmen von Kindern verboten?","Die Mitnahme von Kindern in Labore und Räume mit speziellen technischen Einrichtungen wie etwa Serverräume ist verboten."
"Welche Maßnahmen sind im Brandfall an der FH Technikum Wien zu ergreifen?","Bei Brandverdacht oder Brandausbruch sind alle Personen zu evakuieren und die Feuerwehr ist unverzüglich über die Notrufnummer 122 zu verständigen."
"Welche Verhaltensregeln gelten in den EDV-Sälen der FH Technikum Wien?","Essen und Trinken ist in den EDV-Sälen und Labors nicht gestattet; Geräte sind sachgerecht zu behandeln."
"Wie lange speichert die FH Technikum Wien Videoaufzeichnungen aus Sicherheitsgründen?","Videoaufzeichnungen zum Gebäude- und Eigentumsschutz werden nach 7 Kalendertagen gelöscht."
"Was ist nach einem Unfall auf dem FH-Gelände zu tun?","Jeder Unfall ist sofort dem Lehrpersonal oder einer Mitarbeiterin bzw. einem Mitarbeiter der FH Technikum Wien zu melden."
"Welche Daten werden zu Studienzwecken von der FH Technikum Wien verarbeitet?","Die personenbezogenen Daten der Studierenden werden zur Abwicklung des Studiums und studienbezogener Aktivitäten verarbeitet."
"Wo müssen Jacken und Mäntel vor Betreten der Werkstatt verstaut werden?","Jacken Mäntel Taschen und Rucksäcke sind in Spinde einzuschließen oder an der Garderobe abzulegen die sich im Gang vor der Werkstatt befinden."
"Stehen in der Bibliothek Schließfächer zur Verfügung und was ist dabei zu beachten?","In der Bibliothek stehen den Benutzer*innen Schließfächer zur Verfügung. Von der Aufbewahrung wichtiger Dokumente und Wertgegenstände – z.B. Führerschein Bankomatkarte Geldbeträge – in diesen Schließfächern wird abgeraten. Die FH Technikum haftet nicht für den Inhalt der Schließfächer."
"Wer haftet für verlorene oder beschädigte Gegenstände in der Bibliothek?","Die Bibliothek haftet nicht für den Verlust oder die Beschädigung von mitgebrachten Gegenständen oder Wertsachen."
"Wo dürfen Fahrräder abgestellt werden und wo ist es verboten?","Das Abstellen von Fahrrädern und Scootern ist in den Gängen und Räumen der FH untersagt. Ausgenommen davon ist der Fahrradabstellraum für Mitarbeiter*innen. Ansonsten sind die Fahrradständer am Gelände der FH dafür zu nutzen."
"Gibt es Videoüberwachung auf dem Campus und welchem Zweck dient sie?","Spezielle Bereiche und Räume innerhalb der Gebäude der FH Technikum Wien sind videoüberwacht. Die Videoüberwachung dient der Sicherheit der sich in den Gebäuden befindenden Personen sowie dem Eigentumsschutz."
"Welche Regelungen gelten zum Rauchverbot und Brandschutz in allen Räumlichkeiten?","In allen Räumlichkeiten der FH Technikum Wien besteht absolutes Rauchverbot. Jede missbräuchliche Ingangsetzung der Brandmelder verursacht eine Störung des Unterrichtsbetriebes und führt möglicherweise zu Gefährdungen. Verursacher*innen haften für den entstandenen Schaden."
"Unter welchen Bedingungen kann man sich vom Studienbeitrag befreien oder eine Rückerstattung beantragen?","Studierende mit Behinderung können einen Erlass des Studienbeitrags beantragen. Studierende die ihr Studium vor dem 15.10. bzw. 15.3. unterbrechen erhalten den Studienbeitrag des laufenden Semesters rückerstattet; erfolgt die Unterbrechung danach wird er nicht rückerstattet."
"Welche Fristen und Voraussetzungen gelten für die Rückerstattung der Anzahlung auf den Studienplatz?","Die Anzahlung in Höhe von € 250 ist innerhalb von fünf Werktagen zu leisten. Bis einschließlich dem 15. Juni kann der Studienplatz ohne Angabe von Gründen gekündigt und die Anzahlung rückerstattet werden; danach entfällt die Refundierung."
"Wie lange werden in der Bibliothek personenbezogene Daten gespeichert und wann werden sie gelöscht?","Die Daten werden zeitnah nach Beendigung des Studiums aus dem Bibliotheksverwaltungssystem gelöscht es sei denn es sind noch Entlehnungen bzw. Gebühren offen."
"Welche Rechte haben Studierende nach der DSGVO im Hinblick auf ihre in Laborübungen erhobenen Daten?","Studierende haben das Recht auf Einschränkung der Verarbeitung Recht auf Datenübertragbarkeit Widerspruchsrecht gegen Verarbeitung aus berechtigtem Interesse sowie Recht auf Beschwerde bei der Datenschutzbehörde."
"Was passiert mit meinen personenbezogenen Daten nach Beendigung des Studiums?","Der Studierenden-Akt wird nach 3 Jahren ab Beendigung des Studiums gelöscht Daten die zur Ausstellung von Duplikaten notwendig sind werden von der FHTW 80 Jahre aufbewahrt"""
"Wer ist für die Verarbeitung meiner Daten während des Studiums verantwortlich?","Für die Verarbeitung Ihrer personenbezogenen Daten verantwortlich: Fachhochschule Technikum Wien Höchstädtplatz 6 1200 Wien."
"Wann wird die Anzahlung auf den Studienbeitrag nicht mehr rückerstattet?","Nach dem 15. Juni wird die Anzahlung nicht refundiert."
"Welche Daten werden für Plagiatsprüfungen verwendet?","Zur Sicherstellung der Einhaltung der guten wissenschaftlichen Praxis werden Ihre Bachelor- und Masterarbeiten mittels eines externen Dienstes (Ephorus) überprüft."
"Welche Räume dürfen Studierende nur mit Aufsicht betreten?","Werkstätten und Laboratorien dürfen von Studierenden nur während der hierfür vorgesehenen Unterrichtszeit und nur in Anwesenheit einer verantwortlichen Aufsichtsperson betreten werden."
"Was ist bei der Nutzung von EDV-Ressourcen untersagt?","Verboten ist eine Verwendung der IT-Infrastruktur um andere Personen zu verängstigen oder zu belästigen."
"Darf in der Bibliothek telefoniert werden?","In den Räumlichkeiten ist jegliches Verhalten untersagt welches den laufenden Bibliotheksbetrieb stört oder behindert. Dies gilt insbesondere für Essen trinken Rauchen Telefonieren Musik hören und das Führen längerer Gespräche."
"Wie lange dürfen Bachelorabsolvent*innen Bücher ausleihen?","Die reguläre Leihfrist für Studierende beträgt 1 Monat wobei maximal 10 Werke gleichzeitig entlehnt werden können."
"Welche Folgen hat das Weitergeben von Passwörtern an der FH?","Wenn Passwörter weitergegeben werden oder bei unverschlüsselten Verbindungen durch Dritte ausgelesen werden haften Accountbesitzer*innen für die missbräuchliche Verwendung des Accounts."
"Was ist beim Umgang mit Chemikalien im Labor zu beachten?","Bei Arbeiten mit Chemikalien ist die persönliche Schutzausrüstung Pflicht vorgeschrieben sind geschlossenes Schuhwerk Schutzbrille und Labormantel bei Bedarf geeignete Arbeitshandschuhe"
